ds,dep_var,trend,season,weekday,holiday,boolean_value_3,boolean_value_5,boolean_value_6,boolean_value_7,boolean_value_8,boolean_value_10,boolean_value_12,boolean_value_13,boolean_value_14,boolean_value_16,boolean_value_18,boolean_value_19,boolean_value_20,boolean_value_21,boolean_value_22,boolean_value_23,covid.19.Infected.person_1,weather_Average.temperature..._1,weather_Total.precipitation.mm._1,weather_Daylight.hours..hours._1,Complementary.goods_1,Complementary.goods_2,Complementary.goods_3,Influencer_Post,price_16,Event,macroeconomic_indicators_1,macroeconomic_indicators_4,macroeconomic_indicators_13,macroeconomic_indicators_14,consecutive_holidays_1,consecutive_holidays_2,consecutive_holidays_3,consecutive_holidays_4,consecutive_holidays_5,consecutive_holidays_6,consecutive_holidays_7,consecutive_holidays_8,consecutive_holidays_9,consecutive_holidays_10,consecutive_holidays_11,consecutive_holidays_12,boolean_value_S_1,Influencer_big_fix_S,Influencer_small_fix_S,Yahoo_S,Yahoo_other_S,Twitter_S,Google_other_S,FB_undefined_S,FB_u25_S,FB_28_similar_S,FB_30_broad_S,FB_30_similar_S,FB_30_retarg_S,FB_40_broad_S,FB_40_similar_S,FB_40_retarg_S,FB_50_S,FB_male_other_S,FB_female_other_S,Google_listing_S,Google_Proslisting_S,Google_undefined_S,PR_I,Google_trends_1,Referral_P_1,Twitter_scrolling_increment_1,intercept,depVarHat,solID
2020/5/6,0,3.345281471,0.030681104,-2.157936724,-5.420393014,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.005352801,1.999386068,1.107097702,0,-0.289543233,0.29865465,2.571026601,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,46.18649851,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0.988115258,0,0,0,0,0,0,0,0.174901848,0,0,0,0,0,0,0,0,0,0.188278494,0,0,0,0,0,0,0,0,0,2.401876015,2_699_2
2020/5/7,1,3.352365287,0.014408059,-3.200749444,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.003327417,2.087966463,0.02913415,2.349448091,-0.248710213,0.163548975,1.234092768,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.333121927,0,0,0,0,0,0,0,0,0,0.330953393,0,0,0,0,0,0.000139955,0,0,0,0.701842759,2_699_2
2020/5/8,1,3.359449103,-0.004568131,-3.418464741,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.005642141,2.113275148,0,2.077611122,-0.24499812,0.191992275,0.925569576,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.457607228,0,0,0,0,0,0,0,0,0,0.505646415,0,0,0,0,0,0.000129266,0,0,0,0.221687213,2_699_2
2020/5/9,1,3.366532919,-0.026586135,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.00520813,2.315744623,0,0.660175497,-0.207877193,0.191992275,1.439774897,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.585998136,0,0,0,0,0,0,0,0,0,0.619103336,0,0,0,0,0,0.001190553,0,0,0,6.586082301,2_699_2
2020/5/10,1,3.373616735,-0.051993464,8.16043396,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.003182746,2.720683574,0.0582683,0.194169264,-0.263558584,0.319987125,1.336933833,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.66326761,0,0,0,0,0,0,0,0,0,0.725476505,0,0,0,0,0,0.000978556,0,0,0,11.49424209,2_699_2
2020/5/11,2,3.380700551,-0.081160235,-0.749752181,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.002170054,2.897844364,0.02913415,1.7669403,-0.237573935,0.220435575,1.439774897,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.721646756,0,0,0,0,0,0,0,0,0,0.749181118,0,0,0,0,0,0.000701762,0,0,0,4.392839106,2_699_2
2020/5/12,2,3.387784367,-0.114491053,-2.015560203,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.003906098,2.745992258,0,0.91259554,-0.24499812,0.291543825,1.234092768,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.749128957,0,0,0,0,0,0,0,0,0,0.803108399,0,0,0,0,0,0.000430767,0,0,0,2.006329533,2_699_2
2020/5/13,3,3.394868183,-0.152434156,-2.157936724,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001446703,2.821918311,0,2.155278827,-0.215301378,0.277322175,1.542615961,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.590342217,0,0,0,0,0,0,0,0,0,0.872784227,0,0,0,0,0,0.000222914,0,0,0,3.383923189,2_699_2
2020/5/14,4,3.401951999,-0.195487083,-3.200749444,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.004340109,2.632103178,0,2.427115797,-0.178180451,0.220435575,1.079831172,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.755052689,0,0,0,0,0,0,0,0,0,0.720167395,0,0,0,0,0,9.60E-05,0,0,0,1.919472852,2_699_2
2020/5/15,1,3.409035815,-0.244198241,-3.418464741,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.001302033,2.720683574,0,1.572771036,-0.211589286,0.263100525,0.874149044,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,0.948819018,0,0,0,0,0,0,0,0,0,0.573442349,0,0,0,0,0,3.40E-05,0,0,0,0.741881046,2_699_2
2020/5/16,4,3.416119631,-0.299163962,3.382029333,0,0,0,3.894504454,6.200753175,0,2.655902713,0,0,0,-47.22892231,0,0.207578961,6.464464207,0,0,0,0.002025384,2.341053307,1.398439202,0,-0.241286028,0.263100525,1.491195429,0,-2.727310294,0,11.97046153,-6.225868417,-6.724018378,4.739977897,40.87832145,-15.44573484,0,0,0,0,6.946601269,0,1.338608322,0,-12.69252381,0,0,0,0,0,0,0,0,1.730268161,0,0,0,0,0,0,0,0,0,0.442267169,0.934419424,0,0,0,0,9.79E-06,0,0,0,9.113273298,2_699_2
